Name,Address,Genre,Business Hours,Number of Seats,Phone Number,URL
白龍 カワトク分店,岩手県 盛岡市 菜園 1-10-1 パルクアベニューカワトク  B1F,麺類,"営業時間
10:00～19：00
日曜営業
定休日
不定休（カワトクに準ずる）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000233/
浜味屋,岩手県 盛岡市 中央通 3-4-28,海鮮、居酒屋、日本酒バー,"営業時間
17:00～23:00(L.O)
定休日
日曜日",26席,,https://tabelog.com/iwate/A0301/A030101/3007186/
味工房 きくや,岩手県 盛岡市 館向町 3-6 １Ｆ,食堂、ラーメン、丼,"営業時間
11:00～14:00
17:00～22:30（2012年1月～）
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",26席,,https://tabelog.com/iwate/A0301/A030101/3003033/
錦水,岩手県 盛岡市 大通 3-2-28,日本料理、うなぎ,"営業時間
11:00〜15:00
17:00〜10:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3003496/
ふじやからあげ 盛岡店,岩手県 盛岡市 上田 2-6-1,からあげ、弁当、食堂,"営業時間
11:00～20:00
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",8席,,https://tabelog.com/iwate/A0301/A030101/3007830/
平船精肉店,岩手県 盛岡市 肴町 5-10,鳥料理、肉料理,"営業時間
月～土　9：30～18：30
※金のみ19：00まで
定休日
日曜日",,,https://tabelog.com/iwate/A0301/A030101/3005890/
じょ居,岩手県 盛岡市 盛岡駅前通 10-6,居酒屋、郷土料理、海鮮,"営業時間
17:00～24:00
定休日
日曜日 ※祝日をはさむ場合変更あり",200席,,https://tabelog.com/iwate/A0301/A030101/3001187/
みよし食堂,岩手県 盛岡市 青山 二丁目24-21,食堂、ラーメン、とんかつ,"営業時間
11:00～14:40
17:00～20:50
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",56席,,https://tabelog.com/iwate/A0301/A030101/3000248/
料亭 京極,岩手県 盛岡市 大通 1-8-4,日本料理、うなぎ,"営業時間
11:30～14:30(L.O.13:30)
17:00～22:30
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",110席,,https://tabelog.com/iwate/A0301/A030101/3000277/
三浦精肉店,岩手県 盛岡市 夕顔瀬町 22,とんかつ、肉料理,"営業時間
9:30～18:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006600/
日本一 イオンモール盛岡南店,岩手県 盛岡市 本宮 7-1-1 イオンモール盛岡南店 1F,焼き鳥、惣菜・デリ,"営業時間
9:00～23:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3007767/
どん兵衛,岩手県 盛岡市 大通 2-4-6,海鮮、郷土料理、居酒屋,"営業時間
17:00～24:00(L.O)
定休日
日曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3005422/
花の屋,岩手県 盛岡市 内丸 5-17,日本料理、居酒屋,,,,https://tabelog.com/iwate/A0301/A030101/3001904/
蕎麦将軍,岩手県 盛岡市 八幡町 3-17,そば,"営業時間
11:00～18:00(L.O.17:30)
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010912/
橋本屋 本店,岩手県 盛岡市 本町通 1-16-6,そば、うどん,"営業時間
11:00～21:00
日曜営業
定休日
毎月3日・13日・23日（都合により変わる事もあります）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",70席,,https://tabelog.com/iwate/A0301/A030101/3001297/
牛たん炭焼 利久 イオンモール盛岡店,岩手県 盛岡市 前潟 4-7-1 イオンモール盛岡  1F,牛タン,"営業時間
10:00～22:00(L.O.21:30)
定休日
不定休(イオンモール盛岡に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",106席,,https://tabelog.com/iwate/A0301/A030101/3009136/
和味 なかむら,岩手県 盛岡市 神明町 3-3,日本料理,"営業時間
17:30～22:30(L.O.21:30)
日曜営業
定休日
月曜・月末の日曜不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。","
                    （カウンター８～９席、奥座敷１０席）
                  ",,https://tabelog.com/iwate/A0301/A030101/3000070/
久太屋,岩手県 盛岡市 玉山 区芋田下芋田10-2,そば、うどん、郷土料理,"営業時間
11:00～15:00（L.O.14:30）
日曜営業
定休日
12月31日午後～1月2日まで休み
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",56席,,https://tabelog.com/iwate/A0301/A030101/3001865/
ひだまり亭,岩手県 盛岡市 加賀野 1-8-21,日本料理、食堂,"営業時間
11:30～20:30
定休日
日曜日・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000787/
お食事処 さくら,岩手県 盛岡市 神子田町 20-3 神子田朝市,おにぎり、からあげ,"営業時間
5:00～8:30
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006862/
和海味処 ふう鈴,岩手県 盛岡市 菜園 2-6-25 ヴィヴァーシャス菜園 1F,日本料理,"営業時間
[月～土]
17:30～22:00(21:30LO)
定休日
日曜日、祝日",17席,,https://tabelog.com/iwate/A0301/A030101/3011862/
彩彩,岩手県 盛岡市 肴町 6-10,そば、弁当、おにぎり,"営業時間
[ｲｰﾄ･ｲﾝ]
11:00～16:00
[ﾃｲｸｱｳﾄ]
10:00～18:30
定休日
日・祝
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",28席,,https://tabelog.com/iwate/A0301/A030101/3000921/
めしっこ,岩手県 盛岡市 南仙北 1-24-26,そば,"営業時間
［11：00～20:00]
日曜営業
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",20席,,https://tabelog.com/iwate/A0301/A030101/3003556/
やきとり さかえ,岩手県 盛岡市 月が丘 2丁目8-14,焼き鳥,"営業時間
17:00～
定休日
日曜日、祝祭日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000477/
善五郎,岩手県 盛岡市 繋 字塗沢40-4 つなぎ温泉 愛真館,そば,"営業時間
20:00～24:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030102/3009540/
こくう,岩手県 盛岡市 みたけ 3-33-31,日本料理、海鮮,"営業時間
[月～金]11:45～14:00　[月～土]18:00～22:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000489/
福々庵,岩手県 盛岡市 菜園 1-3-6 農林会館 特産品プラザらら・いわて 1Ｆ,麺類,"営業時間
11：00～16：00（ランチタイム11：30～15：30）
定休日
日曜日・毎月第2水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006595/
山福,岩手県 盛岡市 山岸 1-6-30,そば、うどん,,,,https://tabelog.com/iwate/A0301/A030101/3001867/
かに亭,岩手県 盛岡市 西青山 2-32-10,レストラン、かに,,,,https://tabelog.com/iwate/A0301/A030101/3003211/
鳥鶏,岩手県 盛岡市 大通 1-11-8 名店会館 1F,焼き鳥、居酒屋,"営業時間
17:30～24:00(料理L.O.23:30 ドリンクL.O.23:30)
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010881/
道とん堀 盛岡厨川店,岩手県 盛岡市 厨川 3-13-11,お好み焼き、もんじゃ焼き、鉄板焼き,"営業時間
11:30～23:00　（ＬＯ 22:00）
日曜営業
定休日
無休",94席,,https://tabelog.com/iwate/A0301/A030101/3003914/
小料理屋 菜の花,岩手県 盛岡市 盛岡駅前通 15-6 マルビル3 5F,日本料理、居酒屋,"営業時間
17:00～24:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",23席,,https://tabelog.com/iwate/A0301/A030101/3012291/
扇水,岩手県 盛岡市 内丸 16-18,日本料理,,,,https://tabelog.com/iwate/A0301/A030101/3001924/
佐助豚居酒屋とんちゃん,岩手県 盛岡市 大通 2-6-7 金盛第2ビル 1F,居酒屋、焼き鳥、もつ焼き,"営業時間
17:00～24:00(L.O.23:30)
日曜営業
定休日
不定休",48席,,https://tabelog.com/iwate/A0301/A030101/3000647/
やきとり・かつ,岩手県 盛岡市 青山 4-27-4,焼き鳥、居酒屋、もつ焼き,"営業時間
16:00~22:00
ﾃｲｸｱｳﾄ受付時間14:00~
予約は随時受付中
日曜営業
定休日
月曜日",20席,,https://tabelog.com/iwate/A0301/A030101/3004323/
紫波んちゅ,岩手県 盛岡市 菜園 2-5-20 メルヘンハウス,居酒屋、沖縄料理,"営業時間
18:00～翌1:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010985/
はなまるダイニング,岩手県 盛岡市 青山 3-17-10,居酒屋、焼き鳥、海鮮,"営業時間
ランチ　11：30～14：00
ディナー　17：00～翌1：00
日曜営業
定休日
不定休(加えて12/31も休み)",62席,,https://tabelog.com/iwate/A0301/A030101/3008151/
刺身居酒屋 将,岩手県 盛岡市 青山 3-29-2,居酒屋、海鮮、すき焼き,"営業時間
【月～木】
17：00～02：00（L.O.01：30）
 【日】
17：00～23：00（L.O.22：30）
 【金・土・祝前】
17：00～03：00（L.O.02：30）
日曜営業
定休日
無休",50席,,https://tabelog.com/iwate/A0301/A030101/3001374/
さと,岩手県 盛岡市 内丸 4-10,居酒屋、海鮮、日本料理,"営業時間
17:00〜22:30(L.O 22:00)
定休日
日曜、祝日",20席,,https://tabelog.com/iwate/A0301/A030101/3010868/
小泉うどん 前潟店,岩手県 盛岡市 平賀新田 高柳19-1,うどん,,,,https://tabelog.com/iwate/A0301/A030101/3004938/
蕎麦処 マルホン,岩手県 盛岡市 月が丘 1-27-35,そば、かつ丼、天丼,,,,https://tabelog.com/iwate/A0301/A030101/3010748/
トクちゃん,岩手県 盛岡市 上田 二丁目17-7,焼き鳥、海鮮、居酒屋,"営業時間
17:30～24:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000635/
橋本屋 分店,岩手県 盛岡市 山岸 1-10-1,そば、ラーメン,"営業時間
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3002160/
やきとりおとみ,岩手県 盛岡市 津志田南 2-6-30,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3004325/
炭焼 わさび,岩手県 盛岡市 大通 1-5-19,焼き鳥、居酒屋、麺類,"営業時間
11:00～14:00（ランチ　土日祝　休み）
17:30～23:00(L.O)
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000649/
焼鳥松っちゃん,岩手県 盛岡市 中川町 7-31,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001631/
祭やきとり,岩手県 盛岡市 西見前 １８地割34-1,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001616/
阿部魚店,岩手県 盛岡市 内丸 16-15 内丸ビル1F ,海鮮,"営業時間
9:30～18:30 
定休日
日・祝
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3005798/
とんかつ＆コーヒースタンド SUEKI,岩手県 盛岡市 月が丘 1-28-3,とんかつ、カフェ,,,,https://tabelog.com/iwate/A0301/A030101/3011673/
福,岩手県 盛岡市 上太田 八千刈56-2,ラーメン、麺類,"営業時間
11:30～19:00
日曜日と木曜日は昼営業のみ、15:00頃閉店になります
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010509/
日本料理 茶寮 山里,岩手県 盛岡市 繋 湯ノ舘74-2 つなぎ温泉 ホテル紫苑,日本料理,,,,https://tabelog.com/iwate/A0301/A030102/3010944/
梵游,岩手県 盛岡市 大通 1-9-1,居酒屋、焼き鳥、海鮮,"営業時間
【平日・土・祝・祝前】17：00～01：00
定休日
日曜日",40席,,https://tabelog.com/iwate/A0301/A030101/3002656/
山海塾,岩手県 盛岡市 中央通 3丁目14-4,日本料理,,6席,,https://tabelog.com/iwate/A0301/A030101/3006085/
ひめかみ,岩手県 盛岡市 緑が丘 2-6-20,焼き鳥、居酒屋、ホルモン,"営業時間
17時～24時くらい。基本アバウト。
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",24席,,https://tabelog.com/iwate/A0301/A030101/3001587/
レストラン旬菜,岩手県 盛岡市 上厨川 字野子107 南部マルシェ ぞっこん広場,食堂、日本料理、カレー,"営業時間
11:00～14:00
日曜営業
定休日
年末年始
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",20席,,https://tabelog.com/iwate/A0301/A030104/3010430/
吉田惣菜,岩手県 盛岡市 神子田町 20-3 神子田朝市,おにぎり、串揚げ,"営業時間
5:00～8:30
定休日
不定休(神子田朝市に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008485/
優食茶屋 義亀,岩手県 盛岡市 鉈屋町 12-10,日本料理,"営業時間
【月〜土】
11:00〜14:00
17:00〜21:00(L.o)
定休日でも団体様などご予約対応可
定休日
日曜・水曜",25席,,https://tabelog.com/iwate/A0301/A030101/3009763/
ヘルシー風土,岩手県 盛岡市 内丸 16-15,食堂、日本料理,,,,https://tabelog.com/iwate/A0301/A030101/3005057/
どじょう,岩手県 盛岡市 盛岡駅前北通 4-10,どじょう、居酒屋、日本料理,,,,https://tabelog.com/iwate/A0301/A030101/3004392/
たけむら,岩手県 盛岡市 中ノ橋通 2-12-17,揚げ物、鳥料理,,,,https://tabelog.com/iwate/A0301/A030101/3007216/
吉野家 盛岡月が丘店 ,岩手県 盛岡市 月が丘 2-50-3,牛丼,"営業時間
24時間営業
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011106/
和み,岩手県 盛岡市 桜台 1-17-2,居酒屋、海鮮、串揚げ,,,,https://tabelog.com/iwate/A0301/A030101/3012164/
丼ぶり勘定,岩手県 盛岡市 玉山 区渋民字鶴飼20-1,丼、そば、カレー,"営業時間
10:00～21:00
定休日
イオンスーパーセンター盛岡渋民店に準ずる
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006724/
ドラセナ,岩手県 盛岡市 開運橋通 1-3,パスタ、ステーキ、焼き鳥,"営業時間
[月～日・祝・祝前]
11:30～14:30(料理L.O.14:00 ドリンクL.O.14:00)
17:00～24:00(料理L.O.23:00 ドリンクL.O.23:00)
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",20席,,https://tabelog.com/iwate/A0301/A030101/3011286/
いろり屋 盛岡大通り店,岩手県 盛岡市 大通 り2-3-7 CT33ビル 2F,居酒屋、焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3011674/
キクノ,岩手県 盛岡市 中央通 1-7-16,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001551/
焼鳥 日本一 カワトク店,岩手県 盛岡市 菜園 1-10-1 パルクアベニューカワトク,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3002128/
木樵,岩手県 盛岡市 本町通 1-16-10,日本料理、焼き鳥、居酒屋,,,,https://tabelog.com/iwate/A0301/A030101/3010325/
丸亀製麺 アクロスプラザ盛岡店,岩手県 盛岡市 津志田南 1-1-10 アクロスプラザ盛岡,うどん、揚げ物、おにぎり,"営業時間
11:00～22:00(L.O.21:30)
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012187/
おやつのトビー,岩手県 盛岡市 神子田町 20-3 神子田朝市,ピザ、郷土料理,"営業時間
5:00～8:30
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006864/
お好み焼き 大新,岩手県 盛岡市 緑が丘 4-1-50 アネックスカワトク,お好み焼き,"営業時間
不定
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008867/
まっちゃん,岩手県 盛岡市 高松 4-2-1,日本料理、うなぎ、居酒屋,"営業時間
11:45～13:30
17:00～23:00
定休日
日曜日、祝祭日。
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3003351/
座座,岩手県 盛岡市 大通 1-9-5 ｻﾝｼｬｲﾝﾋﾞﾙ2F,居酒屋、ダイニングバー、焼き鳥,"営業時間
［日〜木]
17：00〜翌１：00
[金・土曜・祝前日]
17：00〜翌３：00 
日曜営業
定休日
年中無休",150席,,https://tabelog.com/iwate/A0301/A030101/3000327/
はかた,岩手県 盛岡市 中央通 3-5-26,日本料理、ふぐ、うなぎ,"営業時間
17:00～22:00
定休日
日曜日、祝祭日。
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",20席,,https://tabelog.com/iwate/A0301/A030101/3002847/
串揚げ酒場 ほとり,岩手県 盛岡市 内丸 5-5,居酒屋、串揚げ,"営業時間
11:30～13:30(料理L.O.13:30) 17:00～翌2:00(料理L.O.翌1:00 ドリンクL.O.翌1:30)
定休日
木曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",40席,,https://tabelog.com/iwate/A0301/A030101/3009680/
家庭料理 ゆうがお,岩手県 盛岡市 本町通 3-20-25,日本料理,"営業時間
11:30～14:00 17:30～22:00
定休日
日曜・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3001453/
おおにし,岩手県 盛岡市 新庄 字上八木田10 盛岡競馬場,焼き鳥,"営業時間
不定
定休日
不定休(盛岡競馬場に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009179/
つかさや,岩手県 盛岡市 上堂 4-2-55,そば,"営業時間
11:00～14:00
定休日
土曜・日曜・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",28席,,https://tabelog.com/iwate/A0301/A030101/3000626/
志NA,岩手県 盛岡市 菜園 2-5-6,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001610/
はちみつ村,岩手県 盛岡市 若園町 3-10,郷土料理,"営業時間
10:00～19:00
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",30席,,https://tabelog.com/iwate/A0301/A030101/3004374/
串カツ わが家,岩手県 盛岡市 中央通 1-9-11 CUBE映画館通りビル B1F,串揚げ,,,,https://tabelog.com/iwate/A0301/A030101/3010865/
かさねや 盛岡店,岩手県 盛岡市 中央通 2-7-19,とんかつ、カレー,"営業時間
11:00～22:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012109/
串揚げや ひとくし,岩手県 盛岡市 菜園 2-5-6 サンライズガーデンビル 1F,串揚げ,"営業時間
17:30～23:30(L.O.23:00）
定休日
不定休　　　(当面月曜休業)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",40席,,https://tabelog.com/iwate/A0301/A030101/3010284/
和食 芳来,岩手県 盛岡市 玉山 区渋民愛宕54,食堂、丼,"営業時間
11:30～14:00
17:00～21:00
定休日
日曜・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",35席,,https://tabelog.com/iwate/A0301/A030101/3004351/
盛岡粋酒場 がむしゃら,岩手県 盛岡市 大通 1-6-17 プラザタイガースビル B1F,居酒屋、海鮮,"営業時間
[月曜日～木曜日]17:00～翌1:00
[金・土曜日]17:00～翌5:00
[日曜日]15:00～翌1:00
日曜営業
定休日
不定休",74席,,https://tabelog.com/iwate/A0301/A030101/3006560/
居酒屋ちゃぼ,岩手県 盛岡市 仙北 3-17-66,居酒屋、焼き鳥、日本酒バー,"営業時間
・ Open １７：００ ～ Close ２３：００
・ Food last Order　２２：００
・ Drink last Order　２２：４０
【 最終ご入店は２２：００ 】
定休日
日曜日・祝日 / その他　夏季・年末年始",20席,,https://tabelog.com/iwate/A0301/A030101/3007450/
食堂 どか亭,岩手県 盛岡市 南大通 1-2-15,食堂、天丼、天ぷら,"営業時間
[月～土]
11:30～15:00
17:00～20:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008469/
ケムリ,岩手県 盛岡市 上田 3-13-34,焼き鳥,,25席,,https://tabelog.com/iwate/A0301/A030101/3001550/
ソバザカヤ NICOGE,岩手県 盛岡市 大通 2-6-21 1F,そば、居酒屋,"営業時間
【月～木】
11:00～15:00（L.O　14：30）
17:00～23：00（L.O　22：30）
【金・土】
11:00～15:00（L.O　14：30）
17:00～24：00（L.O　23：30）
定休日
日曜日、祝日",28席,,https://tabelog.com/iwate/A0301/A030101/3012288/
ダイニングバー 笠,岩手県 盛岡市 菜園 2-4-2,居酒屋、海鮮,"営業時間
[月～日] 17:00～翌01:00
(料理L.O. 00:00 ドリンクL.O. 翌01:30)
定休日
無休",60席,,https://tabelog.com/iwate/A0301/A030101/3009362/
とんとん・酒処,岩手県 盛岡市 青山 1-15-10,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001581/
四季の味 さくら井,岩手県 盛岡市 中ノ橋通 2丁目4-27 北田ビル　１Ｆ,日本料理,"営業時間
17:30～22:30頃
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000877/
172○,岩手県 盛岡市 内丸 5-18,うどん,,"
                    （カウンター、テーブル）
                  ",,https://tabelog.com/iwate/A0301/A030101/3012072/
完全個室 創作居酒屋 匠 盛岡大通店,岩手県 盛岡市 菜園 2-3-22 バンベールビル 7F,居酒屋、日本料理,"営業時間
17:00～24:00
（L.O.23:00、ドリンクL.O.23:30）
日曜営業
定休日
不定休　TEL:050-5872-4394",105席,,https://tabelog.com/iwate/A0301/A030101/3007282/
旬菜酒房 えすK,岩手県 盛岡市 菜園 2-6-27 フロンティア菜園 1F,日本料理、ダイニングバー,"営業時間
17:00～22:00
定休日
日曜日、祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010858/
小鍋立 松もと,岩手県 盛岡市 内丸 4-15,日本料理,"定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011808/
焼鳥ゆう助,岩手県 盛岡市 永井 20地割65-8,焼き鳥、居酒屋,"営業時間
17:00〜23:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",28席,,https://tabelog.com/iwate/A0301/A030101/3001604/
鶏王,岩手県 盛岡市 内丸 4-1,からあげ、弁当、揚げ物,"営業時間
11:30～20:00
完売次第閉店
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011368/
元気な輩居酒屋 リバティ,岩手県 盛岡市 菜園 2-4-11 菜園ヴィレッジ 3F,しゃぶしゃぶ、居酒屋,"営業時間
17:00～翌3:00
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",60席,,https://tabelog.com/iwate/A0301/A030101/3005423/
にわ・とりのすけ 盛岡大通本店,岩手県 盛岡市 大通 1-9-23 平凡盛岡ビル 2F,焼き鳥、鳥料理、居酒屋,"営業時間
17:00～翌2:00
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",34席,,https://tabelog.com/iwate/A0301/A030101/3007224/
さくっと・居酒屋,岩手県 盛岡市 八幡町 5-1,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001567/
HOTJaJa,岩手県 盛岡市 前潟 4-7-1 イオンモール盛岡 　2F フードコート,麺類、郷土料理、丼,,,,https://tabelog.com/iwate/A0301/A030101/3011773/
鉄板焼ばんばん,岩手県 盛岡市 大通 2-6-21,お好み焼き,"営業時間
17:30～LO翌1:00(金、土、祝前日～LO翌2:00)
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",24席,,https://tabelog.com/iwate/A0301/A030101/3003659/
土川そば 盛岡,岩手県 盛岡市 厨川 1-19-17,そば,"営業時間
9:00～18:00
定休日
土曜日・日曜日・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008095/
小料理 福ろう,岩手県 盛岡市 中ノ橋2-4-27 北田ビル 2F,日本料理、日本酒バー,,,,https://tabelog.com/iwate/A0301/A030101/3011472/
山海の蜒 おぐに,岩手県 盛岡市 菜園 1-11-18 リージェント菜園ビル　Ｂ１Ｆ,海鮮、居酒屋,"営業時間
[月～木] 17:00～翌0:30 [金・土] 17:00～翌1:00
定休日
日曜日（祝前日の場合は営業）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3001378/
みのりや,岩手県 盛岡市 山岸 1-3-23,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3001594/
海老バル,岩手県 盛岡市 大通 1-6-16 金盛第一ビル 1F,海鮮,,,,https://tabelog.com/iwate/A0301/A030101/3011736/
たかのはし 三太郎 【旧店名】三太郎,岩手県 盛岡市 中央通 1-11-21,日本料理、ふぐ、居酒屋,"営業時間
11:00～14:00
17:00～22:00
定休日
日曜・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000493/
御料理 丸亀,岩手県 盛岡市 東山 1丁目11-2,日本料理、弁当,"営業時間
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3005665/
すき家 イオン盛岡南店,岩手県 盛岡市 本宮 稲荷10-1 イオンモール盛岡南,牛丼、カレー、食堂,"営業時間
http://maps.sukiya.jp/p/zen004/dtl/ID0100727/?&cond1=1&cond2=1&&his=sw
日曜営業
定休日
イオン盛岡南ショッピングセンターに準ずる",,,https://tabelog.com/iwate/A0301/A030101/3005641/
