Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "Florida|FL", Dealer Name: "Colossal Truck Sales" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - ORLANDO, FL" has no vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - MELBOURNE, FL" has no vehicles
State: "Florida|FL", Dealer Name: "All American Trailer Connection - Ft Pierce" has 114 vehicles
State: "Florida|FL", Dealer Name: "Jansteel USA" has 18 vehicles
State: "Florida|FL", Dealer Name: "Dealer's Choice Truck Sales" has no vehicles
State: "Florida|FL", Dealer Name: "Rechtien International Trucks" has 5 vehicles
State: "Florida|FL", Dealer Name: "Ryder Used Trucks in Tampa" has no vehicles
State: "Florida|FL", Dealer Name: "Custom Truck One Source - Tampa" has 1040 vehicles
State: "Florida|FL", Dealer Name: "Elite Trucks USA" has no vehicles
State: "Florida|FL", Dealer Name: "Bozard Ford" has 229 vehicles
State: "Florida|FL", Dealer Name: "Ford Crestview" has 187 vehicles
State: "Florida|FL", Dealer Name: "Murray Ford" has 176 vehicles
State: "Florida|FL", Dealer Name: "Central Florida Chrysler Dodge Jeep Ram" has 93 vehicles
State: "Florida|FL", Dealer Name: "Sutherlin Orlando Nissan" has 50 vehicles
State: "Florida|FL", Dealer Name: "Chrysler Dodge Jeep Ram FIAT Ft. Walton Beach" has 129 vehicles
State: "Florida|FL", Dealer Name: "Orange Truck Sales" has 2 vehicles
State: "Florida|FL", Dealer Name: "Carite of North Orlando" has no vehicles
State: "Florida|FL", Dealer Name: "Karl Flammer Ford" has 142 vehicles
State: "Florida|FL", Dealer Name: "Al Packer Ford" has 161 vehicles
State: "Florida|FL", Dealer Name: "Lou Bachrodt’s Tri-County Truck & Equipment" has 291 vehicles
State: "Florida|FL", Dealer Name: "PALMETTO 57 NISSAN" has 48 vehicles
State: "Florida|FL", Dealer Name: "Cox Chevrolet" has 348 vehicles
State: "Florida|FL", Dealer Name: "MERCEDES BENZ OF CUTLER BAY" has 111 vehicles
State: "Florida|FL", Dealer Name: "Gilbert Ford" has 67 vehicles
State: "Florida|FL", Dealer Name: "Walker Ford Truck Center" has 231 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - RIVIERA BEACH, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Sarasota Ford" has 108 vehicles
State: "Florida|FL", Dealer Name: "Nimnicht Chevrolet Commercial Sales" has 563 vehicles
State: "Florida|FL", Dealer Name: "Elder Ford of Tampa FLTAMFOR" has 259 vehicles
State: "Florida|FL", Dealer Name: "IRTECH - Innovative Refrigeration Technologies" has 1 vehicles
State: "Florida|FL", Dealer Name: "Rick Hendrick Chevrolet Naples" has 287 vehicles
State: "Florida|FL", Dealer Name: "PENSKE USED TRUCKS - ORLANDO, FL" has no vehicles
State: "Florida|FL", Dealer Name: "Rechtien International Trucks" has 29 vehicles
State: "Florida|FL", Dealer Name: "A A A -Tropic Trailer Sales" has 209 vehicles
State: "Florida|FL", Dealer Name: "Henson Truck Sales" has no vehicles
State: "Florida|FL", Dealer Name: "Mercedes Benz of South Orlando" has 77 vehicles
State: "Florida|FL", Dealer Name: "Rio's Concrete Equipment" has no vehicles
State: "Florida|FL", Dealer Name: "Freightliner Broward" has 25 vehicles
State: "Florida|FL", Dealer Name: "Big Bend Chevrolet Buick" has 106 vehicles
State: "Florida|FL", Dealer Name: "Vatland Ram Commercial Trucks" has 88 vehicles
State: "Florida|FL", Dealer Name: "Grieco Ford of Delray Beach" has 125 vehicles
State: "Florida|FL", Dealer Name: "Gary Yeomans Fleet- Dominion" has 456 vehicles
State: "Florida|FL", Dealer Name: "Trucks & Parts of Tampa" has 45 vehicles
State: "Florida|FL", Dealer Name: "Citra Truck Sales" has no vehicles
State: "Florida|FL", Dealer Name: "Mike's Trucks & Cars" has no vehicles
State: "Florida|FL", Dealer Name: "Pete Moore Chevrolet" has 158 vehicles
State: "Florida|FL", Dealer Name: "Truckmax Homestead" has 212 vehicles
State: "Florida|FL", Dealer Name: "Messina Truck Center" has 2 vehicles
State: "Florida|FL", Dealer Name: "RDK Truck Sales" has 103 vehicles
State: "Florida|FL", Dealer Name: "TruckMax Inc." has 141 vehicles
State: "Florida|FL", Dealer Name: "206 Truck Sales" has no vehicles
State: "Florida|FL", Dealer Name: "SUNCOAST CHRYSLER JEEP DODGE RAM" has 192 vehicles


 State Florida|FL, has Total Vehicles : 13724


Total No of Dealers: "140" exists in the state : "Georgia|GA"

State: "Georgia|GA", Dealer Name: "Allan Vigil Ford Lincoln" has 137 vehicles
State: "Georgia|GA", Dealer Name: "Peach State Ford" has 38 vehicles
State: "Georgia|GA", Dealer Name: "AAA Commercial Truck Sales" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - AUGUSTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - NORCROSS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - LITHIA SPRINGS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Commercial Trucks of Georgia" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ROCKMART, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ATLANTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Mercedes Benz of Atlanta South" has 39 vehicles
State: "Georgia|GA", Dealer Name: "Wow Cargo Trailers" has 312 vehicles
State: "Georgia|GA", Dealer Name: "Bellamy Strickland Commercial Truck Sales" has 69 vehicles
State: "Georgia|GA", Dealer Name: "Phoenix Truck Center" has no vehicles
State: "Georgia|GA", Dealer Name: "Georgia Trailer Outlet" has 177 vehicles
State: "Georgia|GA", Dealer Name: "ProVision Trucks" has 4 vehicles
State: "Georgia|GA", Dealer Name: "Rush Truck Centers - Smyrna Landscape" has 11 vehicles
State: "Georgia|GA", Dealer Name: "Iconic Auto Group" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - VILLA RICA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - MACON, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - TIFTON, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "MJ Leasing & Sales, LLC" has no vehicles
State: "Georgia|GA", Dealer Name: "TRUCK HUNTERS" has 1 vehicles
State: "Georgia|GA", Dealer Name: "Barrgo" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - COLUMBUS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ATLANTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Sagon Trucks & Equipment" has no vehicles
State: "Georgia|GA", Dealer Name: "Blackburn Truck Equipment" has 42 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - POMPANO BEACH, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Wallace Truck And Equipment Sales" has 16 vehicles
State: "Georgia|GA", Dealer Name: "Penske Used Trucks - Bainbridge, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - SAVANNAH, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - NORCROSS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - VALDOSTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - CAIRO, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Chrysler Dodge Jeep Ram FIAT South Savannah" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - CONYERS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - DUBLIN, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Interstate NationaLease, Inc." has no vehicles
State: "Georgia|GA", Dealer Name: "Atlanta Truck Equipment Co., Inc." has 3 vehicles
State: "Georgia|GA", Dealer Name: "K&B Trailer Sales" has 51 vehicles
State: "Georgia|GA", Dealer Name: "Johnny Thomas Truck Sales" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - LAGRANGE, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - RESACA,GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Best Trailers & Supply" has 583 vehicles
State: "Georgia|GA", Dealer Name: "Bishops Trailers & Equipment, LLC" has 21 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - DALTON, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - FOREST PARK, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Environmental Products Group" has 5 vehicles
State: "Georgia|GA", Dealer Name: "Renown Cargo Trailers" has 171 vehicles
State: "Georgia|GA", Dealer Name: "Booth Trailer Sales" has 253 vehicles
State: "Georgia|GA", Dealer Name: "Emerald Transportation Solutions" has 96 vehicles
State: "Georgia|GA", Dealer Name: "Vanguard Truck Center - Macon GA" has 11 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - CONYERS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ATLANTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Georgia Elite Trucks" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - NORCROSS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "MHC Kenworth - South Atlanta" has 17 vehicles
State: "Georgia|GA", Dealer Name: "JW Truck Sales" has 2 vehicles
State: "Georgia|GA", Dealer Name: "Mercedes Benz of Atlanta" has 68 vehicles
State: "Georgia|GA", Dealer Name: "Troncalli Chrysler" has 142 vehicles
State: "Georgia|GA", Dealer Name: "Sons Chevrolet" has 99 vehicles
State: "Georgia|GA", Dealer Name: "Speedway Ford" has 90 vehicles
State: "Georgia|GA", Dealer Name: "Marietta Truck Sales" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - LITHIA SPRINGS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Ryder Used Trucks in Atlanta" has no vehicles
State: "Georgia|GA", Dealer Name: "Custom Truck One Source - Atlanta" has 1040 vehicles
State: "Georgia|GA", Dealer Name: "International Used Truck Center of Atlanta" has no vehicles
State: "Georgia|GA", Dealer Name: "James O'Neal Chrysler Jeep Dodge Ram" has 117 vehicles
State: "Georgia|GA", Dealer Name: "Ryder Used Trucks in Doraville" has no vehicles
State: "Georgia|GA", Dealer Name: "Day's Chevrolet" has 61 vehicles
State: "Georgia|GA", Dealer Name: "Maxie Price Chevrolet" has 95 vehicles
State: "Georgia|GA", Dealer Name: "Hackett Sales,Inc." has 7 vehicles
State: "Georgia|GA", Dealer Name: "Jordan Truck Sales Inc" has no vehicles
State: "Georgia|GA", Dealer Name: "SCHNEIDER NATIONAL INC-ATLANTA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - DULUTH, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "GWINNETT CHRYSLER DODGE JEEP RAM" has 43 vehicles
State: "Georgia|GA", Dealer Name: "Jim Ellis GMC Buford" has 130 vehicles
State: "Georgia|GA", Dealer Name: "Jim Ellis Chevrolet" has 164 vehicles
State: "Georgia|GA", Dealer Name: "Imperial Auto Sales" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - JONESBORO, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "MHC Kenworth - Atlanta" has 18 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - FOREST PARK, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Woody Folsom CDJR" has 218 vehicles
State: "Georgia|GA", Dealer Name: "MHC Kenworth - Gainesville" has 7 vehicles
State: "Georgia|GA", Dealer Name: "Arrow Truck Sales Atlanta" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - NORCROSS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Wade Ford Inc" has 1063 vehicles
State: "Georgia|GA", Dealer Name: "Courtesy Ford" has 583 vehicles
State: "Georgia|GA", Dealer Name: "JACKY JONES CHRYSLER DODGE JEEP RAM" has 127 vehicles
State: "Georgia|GA", Dealer Name: "Don Jackson- CDJR North" has 350 vehicles
State: "Georgia|GA", Dealer Name: "Carl Black Chevrolet Buick GMC" has 180 vehicles
State: "Georgia|GA", Dealer Name: "Akins Ford - CDJR" has 548 vehicles
State: "Georgia|GA", Dealer Name: "Jim Ellis Ford- Sandy Springs" has 97 vehicles
State: "Georgia|GA", Dealer Name: "Mercedes Benz of Buckhead" has 52 vehicles
State: "Georgia|GA", Dealer Name: "RICK HENDRICK CHEVROLET OF BUFORD" has 240 vehicles
State: "Georgia|GA", Dealer Name: "Woody Folsom Chrysler Dodge Jeep Ram of Vidalia" has 234 vehicles
State: "Georgia|GA", Dealer Name: "Daniels Chevrolet-Buick" has 258 vehicles
State: "Georgia|GA", Dealer Name: "Brannen Motor Company" has 71 vehicles
State: "Georgia|GA", Dealer Name: "Mig Auto" has 7 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - MCDONOUGH, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Nalley Auto" has 113 vehicles
State: "Georgia|GA", Dealer Name: "Rush Truck Centers - Smyrna" has 77 vehicles
State: "Georgia|GA", Dealer Name: "Smyrna Truck" has 28 vehicles
State: "Georgia|GA", Dealer Name: "Rush Truck Centers - Atlanta" has 14 vehicles
State: "Georgia|GA", Dealer Name: "Ed Murdock Superstores" has 138 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ALBANY, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Matthews Motors" has 38 vehicles
State: "Georgia|GA", Dealer Name: "Rick Hendrick Chevrolet" has 308 vehicles
State: "Georgia|GA", Dealer Name: "Interstate Truck & Equip." has no vehicles
State: "Georgia|GA", Dealer Name: "Rick Hendrick GMC" has 175 vehicles
State: "Georgia|GA", Dealer Name: "Athens Ford" has 180 vehicles
State: "Georgia|GA", Dealer Name: "Trax Trux" has no vehicles
State: "Georgia|GA", Dealer Name: "Moore Truck Sales, LLC" has no vehicles
State: "Georgia|GA", Dealer Name: "Steve Rayman Chevrolet" has 30 vehicles
State: "Georgia|GA", Dealer Name: "Rick Hendrick CDJR Atlanta" has 364 vehicles
State: "Georgia|GA", Dealer Name: "Woody Folsom Ford" has 155 vehicles
State: "Georgia|GA", Dealer Name: "Pruitt's Truck Sales" has no vehicles
State: "Georgia|GA", Dealer Name: "John Thornton Chevrolet" has 166 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - NEWNAN, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - DALTON, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - CONYERS, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Hardy Chevrolet" has 172 vehicles
State: "Georgia|GA", Dealer Name: "MHC Kenworth - East Atlanta" has 4 vehicles
State: "Georgia|GA", Dealer Name: "Forsyth Truck Sales Inc" has 1 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - GAINESVILLE, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - KENNESAW, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Peterbilt of Atlanta" has 12 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - FAIRBURN, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Rush Truck Centers - Doraville" has 10 vehicles
State: "Georgia|GA", Dealer Name: "Fayetteville Ford" has 58 vehicles
State: "Georgia|GA", Dealer Name: "Loganville Ford" has 36 vehicles
State: "Georgia|GA", Dealer Name: "RBM of Atlanta, Inc." has 49 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - VALDOSTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Southtowne Commercial Truck Sales" has 13 vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - GARDEN CITY, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "PENSKE USED TRUCKS - ATLANTA, GA" has no vehicles
State: "Georgia|GA", Dealer Name: "Bulldog Truck & Equipment" has no vehicles
State: "Georgia|GA", Dealer Name: "North Georgia Truck Center" has no vehicles
State: "Georgia|GA", Dealer Name: "Multi Autos" has no vehicles
State: "Georgia|GA", Dealer Name: "Nextran Truck Centers - Atlanta" has 3 vehicles


 State Georgia|GA, has Total Vehicles : 10312


Total No of Dealers: "7" exists in the state : "Hawaii|HI"

State: "Hawaii|HI", Dealer Name: "PENSKE USED TRUCKS - KAPOLEI, HI" has no vehicles
State: "Hawaii|HI", Dealer Name: "Chewie Test Dealership" has 4 vehicles
State: "Hawaii|HI", Dealer Name: "PENSKE USED TRUCKS - HONOLULU, HI" has no vehicles
State: "Hawaii|HI", Dealer Name: "Chev and Hound Ltd." has no vehicles
State: "Hawaii|HI", Dealer Name: "TraderTraxx Webinar Demo - Truck" has 3 vehicles
State: "Hawaii|HI", Dealer Name: "Your Dealership" has 10 vehicles
State: "Hawaii|HI", Dealer Name: "TraderTraxx Webinar Demo - Truck 2" has no vehicles


 State Hawaii|HI, has Total Vehicles : 17


Total No of Dealers: "15" exists in the state : "Idaho|ID"

State: "Idaho|ID", Dealer Name: "Mountain Home Auto Ranch" has 190 vehicles
State: "Idaho|ID", Dealer Name: "Diesel Depot" has 9 vehicles
State: "Idaho|ID", Dealer Name: "Kendall GM of Nampa" has 319 vehicles
State: "Idaho|ID", Dealer Name: "Mike White Ford of Coeur d'Alene" has 91 vehicles
State: "Idaho|ID", Dealer Name: "PENSKE USED TRUCKS - IDAHO FALLS, ID" has no vehicles
State: "Idaho|ID", Dealer Name: "MainStreet Motors" has no vehicles
State: "Idaho|ID", Dealer Name: "PENSKE USED TRUCKS - BOISE, ID" has no vehicles
State: "Idaho|ID", Dealer Name: "PENSKE USED TRUCKS - BOISE, ID" has no vehicles
State: "Idaho|ID", Dealer Name: "Jackson Group Peterbilt - Boise" has 2 vehicles
State: "Idaho|ID", Dealer Name: "Allan Marsh Travel Center" has no vehicles
State: "Idaho|ID", Dealer Name: "Rush Truck Centers - Boise" has no vehicles
State: "Idaho|ID", Dealer Name: "Western Trailers - Corporate" has 4 vehicles
State: "Idaho|ID", Dealer Name: "Kendall Ford of Meridian" has 325 vehicles
State: "Idaho|ID", Dealer Name: "Con Paulos Chevrolet" has 97 vehicles
State: "Idaho|ID", Dealer Name: "PENSKE USED TRUCKS - CALDWELL, ID" has no vehicles


 State Idaho|ID, has Total Vehicles : 1037


Total No of Dealers: "131" exists in the state : "Illinois|IL"

State: "Illinois|IL", Dealer Name: "HAWK CHRYSLER DODGE JEEP" has 25 vehicles
State: "Illinois|IL", Dealer Name: "Mangold Ford" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - GLENDALE HEIGHTS, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Buy A Truck - New Lenox" has no vehicles
State: "Illinois|IL", Dealer Name: "Rod Baker Ford Sales Inc" has 45 vehicles
State: "Illinois|IL", Dealer Name: "Rush Truck Centers - Chicago" has 22 vehicles
State: "Illinois|IL", Dealer Name: "I-294 Truck Sales" has no vehicles
State: "Illinois|IL", Dealer Name: "Kunes Country Ford of Antioch" has 185 vehicles
State: "Illinois|IL", Dealer Name: "Custom Truck One Source - Chicago" has 1040 vehicles
State: "Illinois|IL", Dealer Name: "Packey Webb Ford" has 56 vehicles
State: "Illinois|IL", Dealer Name: "Knauz Mercedes Benz Sprinter" has 73 vehicles
State: "Illinois|IL", Dealer Name: "Paccar Financial Used Truck Center" has no vehicles
State: "Illinois|IL", Dealer Name: "Phillips Chevrolet Inc" has 141 vehicles
State: "Illinois|IL", Dealer Name: "Kunes Country Belvidere CDJR" has 73 vehicles
State: "Illinois|IL", Dealer Name: "Tirapelli Ford" has 155 vehicles
State: "Illinois|IL", Dealer Name: "Arrow Truck Sales Chicago" has no vehicles
State: "Illinois|IL", Dealer Name: "Willowbrook Ford" has 127 vehicles
State: "Illinois|IL", Dealer Name: "Raymond Chevrolet" has 67 vehicles
State: "Illinois|IL", Dealer Name: "Sam Leman Chrysler, Dodge, Jeep, Ram, Fiat of Morton" has 129 vehicles
State: "Illinois|IL", Dealer Name: "Kunes CDJR Woodstock" has 64 vehicles
State: "Illinois|IL", Dealer Name: "SAM LEMAN CHRYSLER JEEP DODGE" has 35 vehicles
State: "Illinois|IL", Dealer Name: "Schneider National - Edwardsville" has no vehicles
State: "Illinois|IL", Dealer Name: "River Front Chrysler Dodge Jeep" has 111 vehicles
State: "Illinois|IL", Dealer Name: "Haggerty Ford" has 139 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - MELROSE PARK, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Golf Mill Ford Inc" has 212 vehicles
State: "Illinois|IL", Dealer Name: "Country Blacksmith Trailers - Mount Vernon" has 913 vehicles
State: "Illinois|IL", Dealer Name: "Ultimo Motors" has no vehicles
State: "Illinois|IL", Dealer Name: "Schimmer Chevrolet Buick" has 37 vehicles
State: "Illinois|IL", Dealer Name: "Beelman Truck Company" has no vehicles
State: "Illinois|IL", Dealer Name: "Ray Chrysler Dodge Jeep Ram" has no vehicles
State: "Illinois|IL", Dealer Name: "Victory Lane Outdoors" has 63 vehicles
State: "Illinois|IL", Dealer Name: "CIT Trucks - Mokena" has 3 vehicles
State: "Illinois|IL", Dealer Name: "Rush Truck Centers - House of Trucks Chicago" has no vehicles
State: "Illinois|IL", Dealer Name: "Runnion Equipment Company" has 25 vehicles
State: "Illinois|IL", Dealer Name: "Ken's Truck Repair" has 20 vehicles
State: "Illinois|IL", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Chicago" has 26 vehicles
State: "Illinois|IL", Dealer Name: "Rush Truck Centers - Huntley" has no vehicles
State: "Illinois|IL", Dealer Name: "EJ Equipment - Addison" has no vehicles
State: "Illinois|IL", Dealer Name: "Coffman Truck Sales" has 48 vehicles
State: "Illinois|IL", Dealer Name: "SOUTH CHICAGO DODGE CHRYSLER JEEP INC" has 2 vehicles
State: "Illinois|IL", Dealer Name: "King City Chrysler Center Inc" has 38 vehicles
State: "Illinois|IL", Dealer Name: "West Chicago Auto Mall" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - CHICAGO RIDGE, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Morton" has 30 vehicles
State: "Illinois|IL", Dealer Name: "Crase Auto Connection" has no vehicles
State: "Illinois|IL", Dealer Name: "Your Choice Auto Sales - Joliet" has no vehicles
State: "Illinois|IL", Dealer Name: "BOB BRADY DODGE CHRYSLER" has 44 vehicles
State: "Illinois|IL", Dealer Name: "TransChicago Truck Group" has 7 vehicles
State: "Illinois|IL", Dealer Name: "Kenworth of Effingham" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - WAUKEGAN, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - ROMEOVILLE, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - MONTGOMERY, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - WEST CHICAGO, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - ROCKFORD, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Midwest Transit Equipment" has 40 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - SOUTH HOLLAND, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - PRINCETON, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - KANKAKEE, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - FRANKLIN PARK, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Summit Auto Center" has no vehicles
State: "Illinois|IL", Dealer Name: "Rondo Enterprises" has 489 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - SPRINGFIELD, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Terry's Ford Lincoln Mercury" has 39 vehicles
State: "Illinois|IL", Dealer Name: "Weber Commercial Truck Center" has 123 vehicles
State: "Illinois|IL", Dealer Name: "Your Choice Auto Sales Elgin" has no vehicles
State: "Illinois|IL", Dealer Name: "United Nations Truck Sales" has no vehicles
State: "Illinois|IL", Dealer Name: "Arrow Truck Sales St. Louis" has no vehicles
State: "Illinois|IL", Dealer Name: "Essig Motors" has 24 vehicles
State: "Illinois|IL", Dealer Name: "Shanklin's Truck Sales, Inc." has no vehicles
State: "Illinois|IL", Dealer Name: "Sutton Ford" has 62 vehicles
State: "Illinois|IL", Dealer Name: "Your Choice Auto - Waukegan" has no vehicles
State: "Illinois|IL", Dealer Name: "Castle McHenry" has 111 vehicles
State: "Illinois|IL", Dealer Name: "MHC Kenworth - Quad Cities" has 4 vehicles
State: "Illinois|IL", Dealer Name: "M&K Truck Centers - Alsip" has 84 vehicles
State: "Illinois|IL", Dealer Name: "Forge Truck Centers" has 11 vehicles
State: "Illinois|IL", Dealer Name: "Auto Showcase of Carol Stream" has no vehicles
State: "Illinois|IL", Dealer Name: "Mercedes Benz of Hoffman Estates" has 82 vehicles
State: "Illinois|IL", Dealer Name: "Great Lakes Equipment Sales, Inc." has 41 vehicles
State: "Illinois|IL", Dealer Name: "Ford of Galesburg" has 11 vehicles
State: "Illinois|IL", Dealer Name: "Regional Auto Group" has no vehicles
State: "Illinois|IL", Dealer Name: "D'Orazio Ford" has 57 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - DWIGHT, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - EAST DUNDEE, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Tasca Chevrolet of Wheeling" has 52 vehicles
State: "Illinois|IL", Dealer Name: "Advantage Chevrolet" has 87 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - CHANNAHON, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - CHICAGO, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - EFFINGHAM, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - EAST PEORIA, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - BATAVIA, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - BEDFORD PARK, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "LAC Welding MFG., Inc." has 5 vehicles
State: "Illinois|IL", Dealer Name: "PENSKE USED TRUCKS - ELK GROVE VILLAGE, IL" has no vehicles
State: "Illinois|IL", Dealer Name: "Rig Source Inc" has 3 vehicles
State: "Illinois|IL", Dealer Name: "Lemon Grove Trucks" has no vehicles
State: "Illinois|IL", Dealer Name: "Country Blacksmith Trailers - Carterville" has 95 vehicles
State: "Illinois|IL", Dealer Name: "Ray Chevrolet" has 97 vehicles
State: "Illinois|IL", Dealer Name: "Anything In Motion, Inc" has no vehicles
