State Name,City Name,Store Name,Store Address,Store Phone Number,Store Email,Store Instagram Account URL,Store Details Page URL
Florida,Orlando,AYR Cannabis Dispensary Orlando (South OBT),"9815 S Orange Blossom Trl., Orlando, Florida 32837",(407) 815-4599,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-orlando-south-obt#details
Ohio,Harrison,AccuDoc Medical Marijuana Doctor,"620 Ring Rd, Harrison, Ohio 45030",(513) 845-4558,k.caplinger.accudoc@gmail.com,,https://weedmaps.com/doctors/accudoc-medical-marijuana-doctor#details
Oklahoma,DURANT,LivWell Meds,"2815 W UNIVERSITY BLVD, DURANT, Oklahoma 74701",(580) 916-3051,livwellmeds@gmail.com,https://www.instagram.com/LivWell Meds/,https://weedmaps.com/dispensaries/livwell-meds-llc#details
Florida,Kissimmee,Trulieve - Kissimmee (W Irlo Bronson),"4967 W Irlo Bronson Memorial Hwy, Kissimmee, Florida 34746",(407) 693-0490,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-kissimmee-w-irlo-bronson-1#details
Florida,Orlando,Marijuana Doctor- South Orlando,"9521 Orange Blossom Trail #109, Orlando, Florida 32837",(844) 442-0362,appointments@marijuanadoctor.com,https://www.instagram.com/marijuanadocfl/,https://weedmaps.com/doctors/marijuana-doctor-orlando#details
Florida,Orlando,Trulieve - Orlando South,"9521 S Orange Blossom Trail #107, Orlando, Florida 32837",(407) 845-9037,customerservice@trulieve.com,https://www.instagram.com/trulieve_/,https://weedmaps.com/dispensaries/trulieve-orlando-south#details
Florida,New Smyrna Beach,Comfort Care Clinic,"161 N Causeway Suite A, New Smyrna Beach, Florida 32169",(386) 478-4877,support@comfortcareclinics.com,https://www.instagram.com/@comfortcareclinic/,https://weedmaps.com/doctors/comfort-care-clinic#details
Oklahoma,Durant,High 5 Headquarters,"625 W Main St, Durant, Oklahoma 74701",(580) 634-2867,sales@high5hq.com,https://www.instagram.com/cannabishigh5/?hl=en,https://weedmaps.com/dispensaries/high-5#details
Oklahoma,Durant,Organic Meds LLC,"1300 w. evergreen st., Durant, Oklahoma 74701",(214) 682-7648,erikestesjenkins@gmail.com,https://www.instagram.com/organicmedsllc_dispensary/,https://weedmaps.com/dispensaries/organic-meds-llc-2#details
Florida,Orlando,Curaleaf - Orlando - East,"775 N. Semoran Boulevard, Orlando, Florida 32807",(407) 988-2122,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-orlando-2#details
Ohio,Cincinnati,Nature’s Health & Wellness,"2117 Beechmont Ave., Cincinnati, Ohio 45230",(513) 644-3011,support@natureshealthandwellness.net,,https://weedmaps.com/doctors/nature-s-health-wellness#details
Oklahoma,durant,Big Dub Pharms Dispensary,"503 w main st, durant, Oklahoma 74701",(580) 740-6011,jdubdispensary22@gmail.com,https://instagram.com/bigdubpharms?igshid=YmMyMTA2M2Y=,https://weedmaps.com/dispensaries/big-dub-pharms-dispensary#details
Oklahoma,Durant,The Remedy,"523 W Main Street, Durant, Oklahoma 74701",(580) 634-2608,Dustin@remedydurant.com,https://www.instagram.com/theremedydurant,https://weedmaps.com/dispensaries/the-remedy#details
Oklahoma,Durant,Bud Barn,"624 W Main St, Durant, Oklahoma 74701",(580) 634-2444,BUDBARN@ICLOUD.COM,,https://weedmaps.com/dispensaries/bud-barn-1#details
Oklahoma,Durant,Elevate Holistics,"122 W Main Street, Durant, Oklahoma 74701",(918) 879-6155,stephen@elevate-holistics.com,,https://weedmaps.com/doctors/elevate-holistics-23#details
Oklahoma,Durant,GRAMS DISPO,"124 W. Cedar St Suite A, Durant, Oklahoma 74701",(580) 745-8050,charles@loudgrams.com,https://www.instagram.com/gramsdispo?,https://weedmaps.com/dispensaries/grams-dispo#details
Oklahoma,Durant,Apothecary Farms - Durant,"615 N 1st Ave, Durant, Oklahoma 74701",(580) 722-5422,Durant@apothecaryfarms.com,,https://weedmaps.com/dispensaries/apothecary-farms-durant#details
Florida,Bradenton,East County Internal Medicine,"6050 - B State Road 70 East, Bradenton, Florida 34203",(941) 727-7771,contactus@eastcountyim.com,,https://weedmaps.com/doctors/east-county-internal-medicine#details
Florida,Orlando,Cannabis Card Orlando,"1654 N. Semoran Blvd. Suite 148, Orlando, Florida 32807",(321) 392-6420,info@cannabiscardorlando.com,https://www.instagram.com/cannacardorlando ,https://weedmaps.com/doctors/cannabis-card-orlando#details
Florida,Orlando,VidaCann - Orlando,"1700 N Semoran Blvd, Suite 160, Orlando, Florida 32807",(407) 730-4087,info@vidacann.com,,https://weedmaps.com/dispensaries/vidacann-orlando#details
Florida,Orlando,Orlando Psychiatric Associates,"2345 Sand Lake Road Suite 200, Orlando, Florida 32809",(407) 375-0480,lynette9904@gmail.com,,https://weedmaps.com/doctors/orlando-psychiatric-associates-4#details
Florida,Oviedo,Trulieve - Oviedo,"7505 Red Bug Lake Rd, Oviedo, Florida 32765",(407) 904-7871,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-oviedo#details
Florida,Orlando,Medical Cannabis Clinics of Florida,"8865 Commodity Circle, Bldg 14, unit 108, Orlando, Florida 32819",(407) 603-8300,info@mccfl.com,,https://weedmaps.com/doctors/medical-cannabis-clinics-of-florida-3#details
Texas,Houston,Your CBD Store - West Houston,"17036 W Little York Rd. #700, Houston, Texas 77084",(281) 815-3241,test@test.com,,https://weedmaps.com/cbd-stores/your-cbd-store-west-houston#details
Florida,Orlando,Orlando Marijuana Cannabis 420 Doctor,"4401 East Colonial Dr. Suite 204, Orlando, Florida 32803",(407) 600-6299,florida420doctor@gmail.com,https://www.instagram.com/Orlando420Doctor/,https://weedmaps.com/doctors/florida-420-doctor-9#details
Florida,Winter Park,AYR Cannabis Dispensary Winter Park,"7398 Aloma Ave, Winter Park, Florida 32792",(407) 676-5403,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-winter-park#details
Oklahoma,Vinita,Delirium Dispensary,"431 S Wilson St, Vinita, Oklahoma 74301",(918) 323-4559,deliriumdispensary@yahoo.com,,https://weedmaps.com/dispensaries/delirium-dispensary#details
Florida,Winter Park,Sunnyside Medical Cannabis Dispensary - Winter Park - Coming Soon,"591 S. Semoran Blvd, Winter Park, Florida 32792",(689) 345-5535,info@sunnyside.shop,,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-winter-park#details
Florida,Orlando,Miracle Leaf Downtown Orlando,"2645 S Orange Ave, Orlando, Florida 32806",(321) 430-2060,orlando@miracleleaffl.com,,https://weedmaps.com/doctors/miracle-leaf-downtown-orlando#details
Florida,Winter Park,Trulieve - Winter Park,"6840 Aloma Ave, Winter Park, Florida 32792",(407) 584-3782,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-winter-park#details
Florida,Davenport,Trulieve - Davenport,"2500 Deer Creek Commerce Ln #100, Davenport, Florida 33837",(863) 663-2345,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-davenport-1#details
Florida,Bradenton,MÜV Dispensary Bradenton - Heritage Green,"8465 Heritage Green Way, Bradenton, Florida 34211",(833) 880-5420,support@muvbrand.com,,https://weedmaps.com/dispensaries/muv-dispensary-bradenton-heritage-green#details
Florida,Orlando,Advance Preventive Medicine Urgent Care Orlando,"1400 E Robinson street, Orlando, Florida 32801",(407) 845-8623,apmucor@gmail.com,https://www.instagram.com/apmucor/,https://weedmaps.com/doctors/advance-preventive-medicine-urgent-care-orlando#details
Florida,Bradenton,Florida Medical Marijuana Doctors Inc.,"5255 Office Park Blvd #107, Bradenton, Florida 34203",(941) 328-8127,jacob.greenberg45@gmail.com,,https://weedmaps.com/doctors/florida-medical-marijuana-doctors-inc#details
Florida,Auburndale,Trulieve - Auburndale,"2003 US-92, Auburndale, Florida 33823",(863) 563-6669,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulive-auburndale#details
Florida,Winter Springs,Miracle Leaf Winter Springs,"5275 Red Bug Lake RD #105, Winter Springs, Florida 32708",(407) 588-6877,wintersprings@miracleleaffl.com,,https://weedmaps.com/doctors/miracle-leaf-winter-springs#details
Florida,Orlando,Marijuana Care Clinic,"114 W. Underwood St Suite 2, Orlando, Florida 32806",(407) 751-5005,neysha@marijuanacareclinic.com,https://www.instagram.com/marijuanacareclinicorlando/,https://weedmaps.com/doctors/marijuana-care-clinic#details
Florida,Winter Park,Tetra Health Centers,"201 N. Lakemont Ave. Suite 2100, Winter Park, Florida 32792",(813) 296-2782,info@tetrahealthcenters.com,,https://weedmaps.com/doctors/tetra-health-centers-7#details
Ohio,Cincinnati,Nectar - Cincinnati,"3405 Werk Rd, Cincinnati, Ohio 45211",(513) 386-8586,AskaBudtender@NectarMarkets.com,https://www.instagram.com/NectarMedDispensaryOhio /,https://weedmaps.com/dispensaries/nectar-4128#details
Oklahoma,VINITA,AMSTERDAM DISPENSARY - DRIVE THRU,"441259 E HIGHWAY 60, VINITA, Oklahoma 74301",(539) 937-3069,amsterdamdispensaryvinita@gmail.com,https://www.instagram.com/amsterdamdispensaryvinita/,https://weedmaps.com/dispensaries/amsterdam-dispensary#details
Ohio,Cincinnati,Marijuana Doctor- Telehealth- Ohio,"Please Visit Our Website, Cincinnati, Ohio 45202",(863) 220-9377,appointments@marijuanadoctor.com,https://www.instagram.com/marijuanadocfl/,https://weedmaps.com/doctors/marijuana-doctor-telehealth-ohio#details
Ohio,Cincinnati,Miracle Leaf Ohio,"Please Visit Our Website: http://www.miracleleafcard.com/ohio, Cincinnati, Ohio 45202",(833) 260-3624,Telemedicine@miracleleaffl.com,,https://weedmaps.com/doctors/miracle-leaf-ohio#details
Oklahoma,Broken Arrow,Rosebuds Cannabis Co - Broken Arrow,"310 W Kenosha St, Broken Arrow, OK 74012, Broken Arrow, Oklahoma 74012",(918) 505-0029,info@officialrosebuds.com,,https://weedmaps.com/dispensaries/rosebuds-cannabis-co-1#details
Oklahoma,Broken Arrow,CAM Cannabis,"205 A West Kenosha, Broken Arrow, Oklahoma 74012",(539) 367-5282,CamCannabisBA@gmail.com,,https://weedmaps.com/dispensaries/compassionate-alternative-medicine-dispensary#details
Oklahoma,Catoosa,Koli Cannabis -Catoosa,"1555 N HIGHWAY 66 STE B, Catoosa, Oklahoma 74015",(918) 379-5044,kolicannabis@gmail.com,instagram.com/kolicannabis,https://weedmaps.com/dispensaries/koli-cannabis-east#details
Florida,Tampa,Medical Marijuana Treatment Clinics of Florida,"2801 S Macdill Ave., Tampa, Florida 33629",(850) 906-5000,info@mmtcfl.com,https://www.instagram.com/mmtcfl/,https://weedmaps.com/doctors/medical-marijuana-treatment-clinics-of-florida-77448cc5-e02e-4892-926f-ede00ba162c3#details
Oklahoma,Catoosa,Okie Wonderland - Catoosa Express,"1305 OK-66, Catoosa, Oklahoma 74015",(918) 739-4106,kushtrips918@gmail.com,,https://weedmaps.com/dispensaries/kush-trips#details
Florida,Tampa,Trulieve - Tampa Fairgrounds,"7702 E Hillsborough Ave, Tampa, Florida 33610",(813) 491-8381,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-tampa-fairgrounds#details
Ohio,Columbus,The Boster Center for Multiple Sclerosis,"8000 Ravines Edge Court Suite 200, Columbus, Ohio 43235",(614) 304-3444,info@bosterms.com,,https://weedmaps.com/doctors/the-boster-center-for-multiple-sclerosis#details
Florida,Tampa,Marijuana Doctor - Tampa,"4332 West El Prado Boulevard, Tampa, Florida 33629",(844) 442-0362,appointments@marijuanadoctor.com,https://www.instagram.com/marijuanadocfl/,https://weedmaps.com/doctors/marijuana-doctor-24#details
Florida,Lake Mary,AYR Cannabis Dispensary Lake Mary,"3701 W Lake Mary Blvd, Lake Mary, Florida 32746",(689) 281-0004,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-lake-mary#details
Florida,Tampa Bay,Florida Medical Marijuana Doctors,"N/A, Tampa Bay, Florida 33602",(800) 714-4852,office420doctor@gmail.com,,https://weedmaps.com/doctors/florida-420-doctor-10#details
West Virginia,Parkersburg,Trulieve - Parkersburg,"152 Park Shopping Center, Parkersburg, West Virginia 26101",(304) 470-4833,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-parkersburg#details
Oklahoma,Broken Arrow,Mrs Mary Jane,"2105 W Jasper St, Broken Arrow, Oklahoma 74011",(918) 455-7482,sonalicorporation473@gmail.com,https://www.instagram.com/mrsmaryjane.ok/,https://weedmaps.com/dispensaries/mrs-mary-jane#details
Florida,St. Petersburg,Trulieve - St. Petersburg Tyrone,"6752 22nd AVE North, St. Petersburg, Florida 33710",(727) 500-1661,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-st-petersburg-tyrone#details
Florida,Lake Mary,Orlando Psychiatric Associates,"4106 W Lake Mary Blvd. Suite 205, Lake Mary, Florida 32746",(407) 375-0480,lynette9904@gmail.com,,https://weedmaps.com/doctors/orlando-psychiatric-associates-3#details
Florida,Lake Mary,GreenStar Medical,"766 N Sun Dr Suite 1060, Lake Mary, Florida 32746",(407) 484-2261,contactus@greenstarfla.com,https://www.instagram.com/greenstarmmjflorida/,https://weedmaps.com/doctors/greenstar-medical#details
Florida,St. Petersburg,Sunnyside Medical Cannabis Dispensary St Petersburg - North,"8123 4th St. N., St. Petersburg, Florida 33702",(727) 339-1499,listings@sunnyside.shop,,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-st-petersburg-north#details
Oklahoma,Broken Arrow,Five Star Budz,"1101 E Lansing Street, Broken Arrow, Oklahoma 74012",(918) 957-4889,starbudzdispensary@gmail.com,https://www.instagram.com/Starbudz Dispensary/,https://weedmaps.com/dispensaries/starbudz-cannabis-dispensary#details
Florida,St. Petersburg,DocMJ,"8435 4th St N. Unit B, St. Petersburg, Florida 33702",(888) 908-0143,info@docmj.com,https://www.instagram.com/floridadocmj/,https://weedmaps.com/doctors/docmj-781a29b8-19e0-43f1-80d6-c65a97cd4861#details
Florida,Tampa,AYR Cannabis Dispensary Tampa (Hyde Park),"2605 W Swann Ave, Tampa, Florida 33609",(813) 425-4744,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/liberty-health-sciences-tampa-hyde-park#details
Florida,St. Petersburg,Trulieve - St. Petersburg,"8435 4th Street North, St. Petersburg, Florida 33702",(727) 498-5115,customerservice@trulieve.com,https://www.instagram.com/trulieve_/,https://weedmaps.com/dispensaries/trulieve-st-petersburg#details
Oklahoma,Broken Arrow,Hamiltons Bud & Bloom - 24/7 & Drive Thru!,"1350 E Kenosha St, Broken Arrow, Oklahoma 74012",(918) 994-7794,Hamiltonsdispensary@gmail.com,https://www.instagram.com/hamiltonsbudandbloom/,https://weedmaps.com/dispensaries/318-inc#details
Oklahoma,Broken Arrow,Canna Land - Broken Arrow,"6440 S Elm Pl, Broken Arrow, Oklahoma 74011",(918) 322-1198,cannalandok@gmail.com,https://www.instagram.com/cannland_ok/,https://weedmaps.com/dispensaries/canna-land#details
Oklahoma,Broken Arrow,House of Cannabis - OK,"6503 S Elm Place, Broken Arrow, Oklahoma 74011",(918) 438-9977,houseofcannabisok@gmail.com,https://www.instagram.com/hybrid.modern.cannabis,https://weedmaps.com/dispensaries/broken-arrow-cbd-medicinal-dispensary#details
Oklahoma,Broken Arrow,Tulsa Treehouse - Broken Arrow,"7842 S Elm Pl, Broken Arrow, Oklahoma 74011",(918) 940-4641,tulsatreehouse2020@gmail.com,,https://weedmaps.com/dispensaries/tulsa-treehouse-broken-arrow#details
Florida,Tampa,Green Medical Solutions,"3825 Henderson Blvd. Suite 401, Tampa, Florida 33629",(813) 282-9333,Laurie@813GreenDr.com,,https://weedmaps.com/doctors/green-medical-solutions-2#details
Florida,St. Petersburg,Compassionate Care Clinics of Pinellas,"6499 38th Ave. N. Suite C1, St. Petersburg, Florida 33710",(727) 440-7786,info@pinellascannabis.com,https://www.instagram.com/compassionatecareclinics/,https://weedmaps.com/doctors/compassionate-care-clinics-of-pinellas#details
Ohio,Columbus,Saphyre Dispensary,"4066 Morse Road, Columbus, Ohio 43230",(614) 333-0456,jacqueline@saphyredispensary.com,https://www.instagram.com/saphyredispensary/,https://weedmaps.com/dispensaries/saphyre-dispensary#details
Florida,Pinellas Park,AYR Cannabis Dispensary Pinellas Park,"6769 U.S. HWY 19 North, Pinellas Park, Florida 33781",(727) 605-1939,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/liberty-health-sciences-pinellas-park#details
Florida,St. Petersburg,VidaCann - St Petersburg,"10688 Gandy Blvd North, St. Petersburg, Florida 33702",(727) 289-1172,info@vidacann.com,,https://weedmaps.com/dispensaries/vidacann-st-petersburg#details
Florida,Pinellas Park,RISE Dispensaries Pinellas Park,"6999 US Highway 19 N., Pinellas Park, Florida 33781",(727) 275-1933,pinellaspark@risecannabis.com,https://www.instagram.com/rise.cannabis/,https://weedmaps.com/dispensaries/rise-pinellas-park#details
Florida,Tampa,AYR Cannabis Dispensary Tampa (Kennedy),"3642 W Kennedy Blvd., Tampa, Florida 33609",(813) 428-8973,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-tampa-kennedy#details
Florida,Lake Mary,Bud Doc,"917 Rinehart Rd #2061, Lake Mary, Florida 32746",(800) 652-0592,info@buddoc.org,https://www.instagram.com/Buddocs/,https://weedmaps.com/doctors/bud-doc-2#details
Florida,St. Petersburg,Florida Pain Management,"6333 54th Ave North, St. Petersburg, Florida 33709",(727) 548-6100,customerservice@weedmaps.com,,https://weedmaps.com/doctors/florida-pain-management#details
Missouri,Macon,Sunrise Cannabis Dispensary - Macon,"2005 N Missouri St, Macon, Missouri 63552",(314) 353-9817,steve@showmesunrise.com,,https://weedmaps.com/dispensaries/sunrise-cannabis-dispensary-macon#details
Florida,St. Petersburg,MedWell Health & Wellness,"3807 Tyrone Blvd. N., St. Petersburg, Florida 33709",(727) 440-4808,kayla@medwellhealth.net,www.instagram.com/medwellhealthfl,https://weedmaps.com/doctors/medwell-health-wellness-14#details
Florida,St. Petersburg,Curaleaf - St. Petersburg,"3811 Tyrone Blvd, St. Petersburg, Florida 33709",(727) 369-9019,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-st-petersburg#details
Florida,Lake Mary,CannaMD,"1540 International Parkway Suite 2000, Lake Mary, Florida 32746",(855) 420-9170,info@cannamd.com,https://instagram.com/mycannamd,https://weedmaps.com/doctors/cannamd-9#details
Florida,Tampa,Curaleaf - Midtown Dale Mabry,"612 North Dale Mabry highway, Tampa, Florida 33609",(813) 678-2355,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-midtown-dale-mabry#details
Oklahoma,Broken Arrow,RE-UP Cannabis Dispensary - Broken Arrow,"3440 E Houston St., Broken Arrow, Oklahoma 74014",(918) 994-7877,reupdispensarybrokenarrow@gmail.com,,https://weedmaps.com/dispensaries/chaco-valley-dispensaries#details
Florida,Tampa,Sunnyside Medical Cannabis Dispensary - Tampa,"1902 N Dale Mabry Hwy, Tampa, Florida 33607",(813) 726-0119,info@sunnyside.shop,,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-tampa#details
Ohio,Columbus,Ohio Cannabis Connection,"1495 Morse Rd., #320, Columbus, Ohio 43229",(614) 824-2318,info@ohiocannabisconnection.com,,https://weedmaps.com/doctors/ohio-cannabis-connection-2#details
Oklahoma,Broken Arrow,Sky Leaf - Broken Arrow,"1156 N. 38th Street, Broken Arrow, Oklahoma 74014",(918) 940-4835,info@skyleafok.com,https://www.instagram.com/skyleaf.ok/,https://weedmaps.com/dispensaries/sky-leaf-1#details
Florida,Pinellas Park,Trichom Health Center,"6530 Park Blvd, Pinellas Park, Florida 33781",(844) 482-6263,info@trichomhealthcenter.com,https://www.instagram.com/trichomhealthcenter/,https://weedmaps.com/doctors/trichom-health-center-pinellas-park#details
Florida,Tampa,Tetra Health Centers,"2814 W Martin Luther King Jr Blvd, Tampa, Florida 33607",(813) 898-8009,info@tetrahealthcenters.com,,https://weedmaps.com/doctors/tetra-health-centers-5#details
Florida,Clermont,CannaCare Wellness,"17011 FL-50 W Suite 102 Clermont Fl 34711, Clermont, Florida 34711",(407) 993-1420,info@cannacarew.com,instagram.com/cannacarewg,https://weedmaps.com/doctors/cannacare-wellness#details
Florida,Tampa,AYR Cannabis Dispensary Tampa (Tampa Heights),"2814 W MLK JR. BLVD, Tampa, Florida 33607",(813) 466-5272,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-tampa-tampa-heights#details
Florida,Port Orange,Trulieve - Port Orange,"1090 Dunlawton Ave, Port Orange, Florida 32127",(386) 230-0318,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-port-orange#details
Florida,Clermont,Trulieve - Clermont,"17011 FL-50, Clermont, Florida 34711",(352) 290-5783,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-clermont-dispensary#details
Florida,Port Orange,The Flowery - Port Orange,"3790 S Nova Rd., Port Orange, Florida 32129",(305) 912-2929,hello@theflowery.co,,https://weedmaps.com/dispensaries/the-flowery-port-orange#details
Florida,Deltona,Surterra Wellness Center – Deltona,"1200 Deltona Blvd #2, Deltona, Florida 32725",(850) 391-5455,wellness@surterra.com,,https://weedmaps.com/dispensaries/surterra-wellness-center-deltona#details
Florida,Tampa,Curaleaf - Tampa,"6421 N Florida Ave, Tampa, Florida 33604",(813) 497-2028,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-tampa#details
Oklahoma,Claremore,Koli Cannabis - West,"655 w. Ramm rd, Claremore, Oklahoma 74017",(918) 923-2212,kolicannabis@gmail.com,instagram.com/kolicannabis,https://weedmaps.com/dispensaries/koli-cannabis-rx#details
Oklahoma,Claremore,Affordable Medical Cannabis - Claremore,"321 S Lynn Riggs Blvd, Claremore, Oklahoma 74017",(918) 215-6044,affordablemedicalinc1@gmail.com,,https://weedmaps.com/dispensaries/affordable-medical-cannabis#details
Oklahoma,Claremore,Green Canopy Solutions,"581 N. Lynn Riggs, Claremore, Oklahoma 74017",(918) 965-1234,greencanopysolutions@gmail.com,https://www.instagram.com/greencanopysolutions/,https://weedmaps.com/dispensaries/green-canopy-solutions-inc#details
Oklahoma,Claremore,The Jive Dispensary - Claremore,"500 N J M Davis Blvd, Claremore, Oklahoma 74017",(918) 923-7100,sales@jivecannabisco.com,www.instagram.com/thejivedispo.claremore,https://weedmaps.com/dispensaries/the-jive-dispensary#details
Florida,Tampa,Rxpo.com,"8501 Florida Ave, Tampa, Florida 33604",(954) 326-0114,bobisbusy@gmail.com,,https://weedmaps.com/doctors/rxpo-com#details
Ohio,Columbus,The Green Remedy,"1505 Bethel Rd. Ste 201, Columbus, Ohio 43220",(614) 838-1138,info@thegreenremedy.org,https://www.instagram.com/thegreenremedy420/,https://weedmaps.com/doctors/the-green-remedy-2#details
Oklahoma,Claremore,T-Nugs World of Cannabis,"1000 N Lynn Riggs Blvd, Claremore, Oklahoma 74017",(918) 923-2188,tnugswoc@gmail.com,https://www.instagram.com/tnugsworldofcannabis/,https://weedmaps.com/dispensaries/t-nugs-world-of-cannabis#details
Oklahoma,Broken Arrow,Okie Wonderland - Broken Arrow Coweta,"23955 E SH-51, Broken Arrow, Oklahoma 74014",(539) 367-2559,OkiesWonderland@gmail.com,https://www.instagram.com/okie_wonderland/,https://weedmaps.com/dispensaries/okie-wonderland-broken-arrow-coweta#details
Florida,Palm Bay,Curaleaf - Palm Bay,"1420 Palm Bay Road NE, Palm Bay, Florida 32905",(321) 373-0033,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-palm-bay#details
Florida,Palm Bay,Surterra Wellness Center - Palm Bay,"6295 Minton Rd NE, Units 1-2, Palm Bay, Florida 32907",(321) 419-1001,wellness@surterra.com,,https://weedmaps.com/dispensaries/surterra-wellness-center-palm-bay#details
Florida,Palm Bay,My Florida Green,"890 Palm Bay Road NE, Palm Bay, Florida 32904",(833) 665-3279,info@myfloridagreen.com,,https://weedmaps.com/doctors/my-florida-green-4#details
Florida,Englewood,Marijuana Doctor-Englewood,"1720 South McCall Road, Unit D Englewood, FL 34223 Unit D, Englewood, Florida 34223",(844) 442-0362,appointments@marijuanadoctor.com,https://www.instagram.com/marijuanadocfl/,https://weedmaps.com/doctors/marijuana-doctor-engelwood#details
Florida,Englewood,Curaleaf - Englewood,"1930 South McCall Road, Englewood, Florida 34223",(941) 946-8855,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-englewood#details
Florida,Englewood,Trulieve - Englewood,"1720 S. McCall St., Englewood, Florida 34223",(941) 300-5496,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-englewood#details
Florida,Melbourne,Frank Filiberto MD,"400 E Strawbridge Ave, Melbourne, Melbourne, Florida 32901",(321) 676-3101,styler@artfulawakenings.com,,https://weedmaps.com/doctors/frank-filiberto-md#details
Florida,North Port,Medicann Clinic,"3151 Bobcat Village Center Road, North Port, Florida 34288",(941) 888-0723,info@medicannclinic.com,https://instagram.com/medicannclinic,https://weedmaps.com/doctors/medicann-clinic#details
Missouri,Gravois Mills,Square Grouper,"28580 Hwy5, Gravois Mills, Missouri 65037",(573) 965-0420,support@squaregroupermo.com,,https://weedmaps.com/dispensaries/square-grouper#details
Oklahoma,Westville,Nanazgreenz,"1945 Buffington road, Westville, Oklahoma 74965",(918) 930-9612,nanasnursery79@yahoo.com,,https://weedmaps.com/dispensaries/nanazgreenz#details
Florida,North Port,Trulieve - North Port,"7050 Sumter Crossing Dr., North Port, Florida 34287",(941) 499-8796,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-north-port#details
Florida,North Port,Medical Marijuana Treatment Clinics of Florida,"14846 Tamiami Trail, North Port, Florida 34287",(850) 906-5000,info@mmtcfl.com,https://www.instagram.com/mmtcfl/,https://weedmaps.com/doctors/medical-marijuana-treatment-clinics-of-florida-2#details
Oklahoma,Sallisaw,Sallisaw Natural Health 24/7 and Drive Thru!,"456 West Ruth Avenue, Sallisaw, Oklahoma 74955",(918) 235-6908,SallisawNaturalHealth@gmail.com,https://www.instagram.com/sallisaw_natural_health/,https://weedmaps.com/dispensaries/sallisaw-natural-health#details
Florida,Sebring,AYR Cannabis Dispensary Sebring,"135 US HWY 27 N, Sebring, Florida 33870",(863) 593-2099,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-sebring#details
Oklahoma,sallisaw,Green Releaf - Drive Thru,"710 s wheeler ave, sallisaw, Oklahoma 74955",(918) 208-0722,Greenreleafdispo@gmail.com,https://www.instagram.com/greenreleaf_ok/,https://weedmaps.com/dispensaries/green-releaf-1#details
Ohio,Logan,Columbia Care - Logan,"245 West Main Street, Logan, Ohio 43138",(740) 300-1821,info@col-careoh.com,,https://weedmaps.com/dispensaries/columbia-care-logan#details
Florida,Melbourne,MMJ Health,"115 Hickory St. Suite# 105, Melbourne, Florida 32904",(561) 631-7994,info@mmjhealth.com,https://www.instagram.com/mmjhealth/,https://weedmaps.com/doctors/mmj-health-3#details
Oklahoma,Sallisaw,Flight 420 - Sallisaw,"1223 E. Cherokee Ave, Sallisaw, Oklahoma 74955",(918) 235-6595,customer@greenhorizonsok.com,https://www.instagram.com/@flight420ok/,https://weedmaps.com/dispensaries/green-horizons#details
