Program ID,Program Name,Specialty,"Program City, State",Type of Program,Number of 1st Yr Positions,ERAS Participation,NRMP match,Program URL,Link to Overview,Link to Program Work Schedule,Link to Features Benefits
0404821155,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,Anesthesiology,"San Antonio, TX", University-based , 18 first year positions ,True,,https://freida.ama-assn.org/program/0404821155,,,
0404821156,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,Anesthesiology,"Temple, TX", Community-based university affiliated , 12 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404821156,,,
0404800002,University of Texas Health Science Center at Tyler Program,Anesthesiology,"Tyler, TX", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0404800002,,,
0404931157,University of Utah Health Program,Anesthesiology,"Salt Lake City, UT", University-based , 5 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404931157,,,
0401100002,University of South Florida Morsani College of Medicine Program,Anesthesiology,"Charlottesville, VA", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0401100002,,,
0405111159,University of Virginia Medical Center Program,Anesthesiology,"Charlottesville, VA", University-based , 14 first year positions ,False,,https://freida.ama-assn.org/program/0405111159,,,
0405121008,Naval Medical Center (Portsmouth) Program,Anesthesiology,"Portsmouth, VA", Military-based ,,False,,https://freida.ama-assn.org/program/0405121008,,,
0405111160,Virginia Commonwealth University Health System Program,Anesthesiology,"Richmond, VA", University-based , 11 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0405111160,,,
0405011158,University of Vermont Medical Center Program,Anesthesiology,"Burlington, VT", University-based , 6 first year positions ,False,,https://freida.ama-assn.org/program/0405011158,,,
0405412162,Virginia Mason Franciscan Health Program,Anesthesiology,"Seattle, WA", Community-based university affiliated , 9 first year positions ,False,,https://freida.ama-assn.org/program/0405412162,,,
0405421161,University of Washington Program,Anesthesiology,"Seattle, WA", University-based , 26 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0405421161,,,
0405621164,University of Wisconsin Hospitals and Clinics Program,Anesthesiology,"Madison, WI", University-based , 16 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0405621164,,,
0405621165,Medical College of Wisconsin Affiliated Hospitals Program,Anesthesiology,"Milwaukee, WI", Community-based university affiliated , 22 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0405621165,,,
7265644006,Medical College of Wisconsin Affiliated Hospitals Program,Pediatrics/Anesthesiology,"Milwaukee, WI", Community-based university affiliated , 1 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/7265644006,,,
0405511163,West Virginia University Program,Anesthesiology,"Morgantown, WV", University-based , 9 first year positions ,False,,https://freida.ama-assn.org/program/0405511163,,,
